,date,prefecture,confirmed,tested,recovered,deaths,infected,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
0,2020-03-18,Aichi,130,847.0,3.0,14.0,113.0,-4.0,4.0,22.0,-16.0,-2.0,3.0
1,2020-03-19,Aichi,134,847.0,3.0,14.0,117.0,4.0,4.0,18.0,-14.0,-5.0,3.0
2,2020-03-20,Aichi,139,847.0,3.0,16.0,120.0,2.0,2.0,17.0,-41.0,-43.0,15.0
3,2020-03-21,Aichi,141,847.0,8.0,16.0,117.0,-9.0,3.0,30.0,-28.0,-6.0,4.0
4,2020-03-22,Aichi,143,847.0,8.0,16.0,119.0,-11.0,1.0,21.0,-26.0,-4.0,3.0
5,2020-03-23,Aichi,145,1782.0,8.0,17.0,120.0,-5.0,1.0,19.0,-14.0,-4.0,3.0
6,2020-03-24,Aichi,148,1895.0,,,,-3.0,2.0,11.0,-17.0,-4.0,4.0
7,2020-03-25,Aichi,154,1987.0,36.0,18.0,100.0,0.0,6.0,30.0,-14.0,-4.0,3.0
8,2020-03-26,Aichi,157,2204.0,36.0,19.0,102.0,1.0,10.0,39.0,-15.0,-5.0,3.0
9,2020-03-27,Aichi,160,2276.0,42.0,18.0,100.0,-12.0,-3.0,-33.0,-21.0,-7.0,7.0
10,2020-03-28,Aichi,164,2276.0,42.0,19.0,103.0,-13.0,3.0,-11.0,-32.0,-5.0,6.0
11,2020-03-29,Aichi,167,2276.0,42.0,19.0,106.0,-14.0,1.0,-11.0,-35.0,-5.0,6.0
12,2020-03-30,Aichi,170,2460.0,42.0,19.0,109.0,-8.0,0.0,-13.0,-19.0,-6.0,5.0
13,2020-03-31,Aichi,176,2854.0,47.0,19.0,110.0,-5.0,4.0,-2.0,-20.0,-6.0,5.0
14,2020-04-01,Aichi,181,2854.0,47.0,19.0,115.0,-16.0,-5.0,-22.0,-21.0,-6.0,6.0
15,2020-04-02,Aichi,186,3123.0,47.0,19.0,120.0,-9.0,6.0,30.0,-22.0,-7.0,5.0
16,2020-04-03,Aichi,198,2917.0,48.0,19.0,131.0,-12.0,5.0,48.0,-24.0,-8.0,6.0
17,2020-04-04,Aichi,216,2917.0,48.0,19.0,149.0,-14.0,8.0,53.0,-38.0,-10.0,7.0
18,2020-04-05,Aichi,227,2917.0,48.0,20.0,159.0,-19.0,5.0,19.0,-43.0,-10.0,7.0
19,2020-04-06,Aichi,237,3236.0,52.0,21.0,164.0,-9.0,6.0,29.0,-21.0,-10.0,6.0
20,2020-04-07,Aichi,258,3295.0,52.0,21.0,185.0,-11.0,5.0,33.0,-25.0,-10.0,6.0
21,2020-04-08,Aichi,278,3467.0,52.0,21.0,205.0,-17.0,3.0,28.0,-29.0,-10.0,7.0
22,2020-04-09,Aichi,299,3467.0,53.0,21.0,225.0,-14.0,6.0,22.0,-30.0,-10.0,7.0
23,2020-04-10,Aichi,313,3990.0,63.0,22.0,228.0,-21.0,5.0,1.0,-35.0,-12.0,9.0
24,2020-04-11,Aichi,340,3990.0,63.0,22.0,255.0,-28.0,4.0,7.0,-52.0,-20.0,12.0
25,2020-04-12,Aichi,319,3990.0,63.0,22.0,234.0,-38.0,-7.0,-37.0,-61.0,-20.0,12.0
