Date,Location,Positive,Tested,Hosp_require,Hosp_mild,Hosp_severe,Hosp_unknown,Discharged,Fatal
2020/02/06,Domestic,16,132,12,9,0,3,4,0
2020/02/06,Returnee,9,566,5,3,0,2,0,0
2020/02/07,Domestic,16,151,12,12,0,0,4,0
2020/02/07,Returnee,9,566,6,4,0,2,0,0
2020/02/10,Domestic,16,174,7,7,0,0,9,0
2020/02/10,Returnee,10,764,7,4,0,3,0,0
2020/02/12,Domestic,16,190,6,6,0,0,10,0
2020/02/12,Returnee,12,764,9,8,0,1,0,0
2020/02/13,Domestic,17,200,6,6,0,0,11,0
2020/02/13,Returnee,12,764,0,0,0,0,0,0
2020/02/14,Domestic,21,214,10,9,0,1,11,0
2020/02/14,Returnee,12,764,8,8,0,0,1,0
2020/02/17,Domestic,46,487,21,17,3,4,13,1
2020/02/17,Returnee,13,764,6,6,0,0,3,0
2020/02/18,Domestic,53,523,28,25,3,3,12,1
2020/02/18,Returnee,13,764,5,5,0,0,4,0
2020/02/19,Domestic,60,532,29,25,6,4,14,1
2020/02/19,Returnee,13,764,5,5,0,0,4,0
2020/02/20,Domestic,70,603,36,24,7,12,16,1
2020/02/20,Returnee,14,829,6,6,0,0,4,0
2020/02/21,Domestic,79,693,43,29,9,14,16,1
2020/02/21,Returnee,14,829,6,6,0,0,4,0
2020/02/22,Domestic,90,778,52,32,10,20,17,1
2020/02/22,Returnee,15,829,7,6,0,1,7,0
2020/02/23,Domestic,114,874,73,42,11,31,17,1
2020/02/23,Returnee,15,829,7,6,0,1,7,0
2020/02/24,Domestic,126,913,83,52,13,31,17,1
2020/02/24,Returnee,15,829,5,4,0,1,9,0
2020/02/25,Domestic,140,1017,96,58,14,38,9,1
2020/02/25,Returnee,15,829,5,4,0,1,9,0
2020/02/26,Domestic,149,1061,98,63,15,35,23,1
2020/02/26,Returnee,15,829,5,4,0,1,9,0
2020/02/27,Domestic,171,1229,111,60,16,51,30,3
2020/02/27,Returnee,15,829,5,4,0,1,10,0
2020/02/28,Domestic,195,1380,130,73,20,57,30,4
2020/02/28,Returnee,15,829,4,4,0,0,11,0
2020/02/29,Domestic,215,1510,140,82,22,58,31,5
2020/02/29,Returnee,15,829,0,0,0,0,15,0
2020/03/01,Domestic,224,1688,146,90,23,56,31,5
2020/03/01,Returnee,15,829,0,0,0,0,15,0
2020/03/02,Domestic,239,1784,160,95,23,65,32,6
2020/03/02,Returnee,15,829,0,0,0,0,15,0
2020/03/03,Domestic,253,1855,163,98,24,65,35,6
2020/03/03,Returnee,15,829,0,0,0,0,15,0
2020/03/04,Domestic,269,5690,178,100,24,78,37,6
2020/03/04,Returnee,15,829,0,0,0,0,15,0
2020/03/05,Domestic,302,5948,204,102,27,102,38,6
2020/03/05,Airport,1,,1,1,0,0,0,0
2020/03/05,Returnee,15,829,0,0,0,0,15,0
2020/03/06,Domestic,333,6647,207,139,30,68,56,6
2020/03/06,Airport,1,,1,1,0,0,0,0
2020/03/06,Returnee,15,829,0,0,0,0,15,0
2020/03/07,Domestic,392,7200,258,176,28,82,63,6
2020/03/07,Airport,1,,1,1,0,0,0,0
2020/03/07,Returnee,15,829,0,0,0,0,15,0
2020/03/08,Domestic,439,7347,295,193,27,102,67,6
2020/03/08,Airport,1,,1,1,0,0,0,0
2020/03/08,Returnee,15,829,0,0,0,0,15,0
2020/03/09,Domestic,472,7457,300,179,33,121,88,7
2020/03/09,Airport,1,,1,1,0,0,0,0
2020/03/09,Returnee,15,829,0,0,0,0,15,0
2020/03/10,Domestic,498,8771,316,196,31,120,89,9
2020/03/10,Airport,1,,1,1,0,0,0,0
2020/03/10,Returnee,15,829,0,0,0,0,15,0
2020/03/11,Domestic,552,9195,355,194,26,161,103,12
2020/03/11,Airport,1,,1,1,0,0,0,0
2020/03/11,Returnee,15,829,0,0,0,0,15,0
2020/03/12,Domestic,608,9376,395,229,29,166,108,15
2020/03/12,Airport,1,,1,1,0,0,0,0
2020/03/12,Returnee,15,829,0,0,0,0,15,0
2020/03/13,Domestic,659,11231,426,268,32,158,120,19
2020/03/13,Airport,2,,1,1,0,0,0,0
2020/03/13,Returnee,15,829,0,0,0,0,15,0
2020/03/14,Domestic,699,12090,453,292,35,161,129,21
2020/03/14,Airport,2,,1,1,0,0,0,0
2020/03/14,Returnee,15,829,0,0,0,0,15,0
2020/03/15,Domestic,762,12197,488,298,36,190,142,22
2020/03/15,Airport,3,,1,1,0,0,0,0
2020/03/15,Returnee,15,829,0,0,0,0,15,0
