id	age	workclass	fnlwgt	education	education-num	marital-status	occupation	relationship	race	sex	capital-gain	capital-loss	hours-per-week	native-country	Y
5	90	Private	313986	11th	7	Never-married	Handlers-cleaners	Own-child	White	Male	0	0	40	United-States	<=50K
10	46	Private	74895	Assoc-acdm	12	Married-civ-spouse	Craft-repair	Husband	White	Male	0	1485	55	United-States	<=50K
11	37	Private	67433	HS-grad	9	Married-civ-spouse	Adm-clerical	Wife	White	Female	0	0	40	United-States	>50K
13	45	Local-gov	144940	Masters	14	Divorced	Prof-specialty	Unmarried	Black	Female	0	0	40	United-States	<=50K
14	40	Private	272960	Assoc-acdm	12	Married-civ-spouse	Tech-support	Husband	White	Male	0	0	42	United-States	>50K
19	31	State-gov	181824	Bachelors	13	Married-civ-spouse	Prof-specialty	Wife	White	Female	0	1902	35	United-States	>50K
20	31	Private	114691	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	40	United-States	>50K
21	27	Private	214858	HS-grad	9	Married-civ-spouse	Other-service	Own-child	White	Male	0	0	40	United-States	<=50K
23	68	Private	274096	10th	6	Divorced	Transport-moving	Not-in-family	White	Male	0	0	20	United-States	<=50K
24	46	Private	172581	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	1902	50	United-States	>50K
26	23	Private	210474	Some-college	10	Never-married	Other-service	Own-child	White	Female	0	0	20	United-States	<=50K
28	52	Private	53497	Assoc-voc	11	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	<=50K
30	41	Private	116825	Masters	14	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	55	United-States	>50K
39	40	Private	165309	Some-college	10	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	43	United-States	<=50K
40	23	Private	32950	Some-college	10	Never-married	Sales	Not-in-family	White	Male	0	0	40	United-States	<=50K
41	22	Private	200318	Assoc-acdm	12	Never-married	Adm-clerical	Not-in-family	White	Female	0	0	15	United-States	<=50K
43	41	Federal-gov	263339	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	40	United-States	>50K
46	67	Self-emp-not-inc	139960	7th-8th	4	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	<=50K
49	58	Private	138285	Assoc-acdm	12	Married-civ-spouse	Craft-repair	Husband	White	Male	0	1740	40	United-States	<=50K
50	52	Private	96359	Doctorate	16	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	57	United-States	>50K
52	28	Private	394927	Some-college	10	Married-civ-spouse	Tech-support	Husband	White	Male	0	0	40	United-States	>50K
53	76	?	28221	HS-grad	9	Married-civ-spouse	?	Husband	White	Male	0	0	40	Canada	>50K
55	51	Private	86373	Bachelors	13	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	25	United-States	<=50K
56	47	Private	284871	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	1887	40	United-States	>50K
57	38	Private	188888	Bachelors	13	Never-married	Exec-managerial	Not-in-family	White	Male	0	1340	40	United-States	<=50K
59	51	Local-gov	96190	Some-college	10	Married-civ-spouse	Adm-clerical	Wife	White	Female	0	0	40	United-States	<=50K
62	35	Self-emp-not-inc	193260	Masters	14	Married-civ-spouse	Sales	Husband	Asian-Pac-Islander	Male	0	0	40	?	>50K
63	40	Federal-gov	241895	HS-grad	9	Married-civ-spouse	Adm-clerical	Husband	White	Male	0	0	40	United-States	<=50K
68	37	Private	252947	Bachelors	13	Never-married	Machine-op-inspct	Not-in-family	Black	Male	0	1719	32	United-States	<=50K
73	18	Private	236262	11th	7	Never-married	Handlers-cleaners	Own-child	White	Male	0	0	12	United-States	<=50K
75	37	Private	189382	Assoc-voc	11	Never-married	Adm-clerical	Own-child	White	Female	0	0	38	United-States	<=50K
77	23	Private	315065	Some-college	10	Never-married	Other-service	Unmarried	White	Male	0	0	35	Mexico	<=50K
78	45	Private	168598	12th	8	Married-civ-spouse	Adm-clerical	Wife	Black	Female	3103	0	40	United-States	>50K
79	63	Private	145212	HS-grad	9	Divorced	Exec-managerial	Not-in-family	White	Female	0	0	40	United-States	<=50K
80	56	Private	70720	12th	8	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	United-States	>50K
81	31	Local-gov	90409	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	35	United-States	<=50K
82	37	Self-emp-not-inc	180477	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	47	United-States	<=50K
84	60	Private	75726	HS-grad	9	Divorced	Exec-managerial	Not-in-family	White	Female	0	1092	40	United-States	<=50K
85	66	Self-emp-inc	220543	HS-grad	9	Married-civ-spouse	Adm-clerical	Wife	White	Female	0	0	40	United-States	>50K
89	28	Local-gov	401886	HS-grad	9	Never-married	Adm-clerical	Other-relative	White	Male	0	0	20	United-States	<=50K
90	52	Private	229983	Prof-school	15	Married-civ-spouse	Prof-specialty	Wife	White	Female	3103	0	30	United-States	>50K
91	46	Self-emp-not-inc	82572	HS-grad	9	Widowed	Other-service	Other-relative	White	Female	0	0	40	United-States	<=50K
92	43	State-gov	60949	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	<=50K
93	46	Self-emp-inc	168796	Bachelors	13	Married-civ-spouse	Sales	Husband	White	Male	0	0	55	United-States	<=50K
95	36	Private	220585	Assoc-acdm	12	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	50	United-States	>50K
96	38	Local-gov	91711	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	50	United-States	>50K
97	24	Private	152189	HS-grad	9	Never-married	Craft-repair	Own-child	White	Male	0	0	40	United-States	<=50K
99	29	Private	194200	Some-college	10	Never-married	Machine-op-inspct	Own-child	White	Male	0	0	45	United-States	<=50K
100	46	Private	377401	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	White	Male	0	1902	70	Canada	>50K
101	66	Local-gov	174486	Doctorate	16	Married-civ-spouse	Prof-specialty	Husband	Black	Male	20051	0	35	Jamaica	>50K
102	59	Self-emp-inc	255822	HS-grad	9	Divorced	Exec-managerial	Not-in-family	White	Male	0	0	60	United-States	<=50K
104	27	Private	359155	Bachelors	13	Married-civ-spouse	Prof-specialty	Wife	White	Female	0	0	40	United-States	>50K
105	40	Private	367533	Some-college	10	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	2580	0	40	United-States	<=50K
106	37	State-gov	482927	Some-college	10	Divorced	Other-service	Not-in-family	White	Male	0	0	65	United-States	<=50K
107	37	Private	178948	Bachelors	13	Married-civ-spouse	Exec-managerial	Wife	White	Female	7688	0	45	United-States	>50K
108	31	Private	123983	Some-college	10	Separated	Sales	Unmarried	Asian-Pac-Islander	Male	0	0	40	South	<=50K
109	54	Private	292673	1st-4th	2	Married-civ-spouse	Other-service	Husband	White	Male	0	0	35	Mexico	<=50K
110	54	Local-gov	137678	Some-college	10	Divorced	Adm-clerical	Unmarried	White	Female	0	0	40	United-States	<=50K
111	35	Private	168322	11th	7	Married-civ-spouse	Farming-fishing	Husband	White	Male	0	0	40	United-States	<=50K
113	29	Local-gov	375655	Bachelors	13	Never-married	Prof-specialty	Not-in-family	White	Male	0	0	40	United-States	<=50K
